label,sentences
1,Highway belongs to private property.
1,A tortoise can race a hair.
1,You would sate your hanger because you want to live.
1,You may find a tooth in your ear.
1,Grass can break.
1,A dog can read books.
1,The plane went to outer space.
1,A river is a large flow of stone.
1,diamond is very cheap.
0,Snake is a cold-blooded animal.
0,The policeman arrested the suspect.
0,Sally uses perfume every morning before setting off to work.
0,A house has a roof.
0,Human body temperature is constant.
1,You are likely to find a TV in a kitchen.
1,You can use a study to take a bath.
0,Physicists are sending rockets to the moon.
0,Sue was pregnant.
1,There are many trains and flowers in the school.
1,Pizza is usually eaten by chopsticks.
0,Lions are carnivores.
0,A timer can time a race.
0,Someone is having a birthday.
1,Criticism is for celebrating a promotion.
1,You can use water to cook..
1,Snakes played in front of the ship in the sea.
1,My parents are disappointed at my first prize.
1,Monet was a tire.
0,People are shorter than giraffes.
0,The woman gave birth.
1,You are likely to find a cooking area in dental office.
0,You can play music with your guitar.
0,Everest is higher than Mount Fuji.
0,You can use cotton to make a pillow..
1,Something you find at a race track is a boat.
0,You may find a dress in the washing machine.
0,you want to eat bread.
1,Plastic contain calcium.
1,Something you find in a pond is a horse.
0,You are likely to find an anemone in salt water.
0,The quest for knowledge would make you want to read a book.
1,I can talk to others without opening my mouth.
0,He put the letter into the envelope.
1,Cycling requires balcony.
1,My mother buys a swear for me.
0,Humans can't survive without air.
1,Mark Twain is a scientist.
1,We eat many people.
0,Doctor Stephen Strange was a doctor at the beginning.
1,You will keep detesting when talking to others.
0,Cobra belongs to animals.
1,You can dance on a table.
0,The duty of the policer is to protect people from harm.
0,You are likely to find seahorse in ocean.
1,You are likely to find a dinosaur in a research laboratory.
1,You can see the moon during the day.
1,The sky is yellow.
0,Lily put on a dress for a ball.
0,giving a gift requires a person to give it to.
1,I can go out without wearing clothes.
0,Soil provides nutrients for plants.
0,People laugh when they are happy.
1,Sally's old studios came back to visit her.
0,Glass may be easily broken.
1,You may find a duck on the tree.
1,People put the garbage can in the basket.
0,writing a term paper requires focused attention.
0,Men often wear shorts in summer.
1,Jane drank a bottle of oil.
1,Santa Claus sent Jim a Christmas present.
0,Bread is made from wheat.
0,Fish can swim.
1,A pen is used for drilling holes.
0,Flowers and insects are very different.
0,You would eat in a fast food restaurant.
1,Sharks hunt sheep in the sea.
1,Coke is made of alcohol.
1,An ornamental glass globe might be worthless.
0,You are likely to find a heifer in a barnyard.
0,I drove a car on the road.
1,Mary brought a silk blanket to her flight in case it would be hot.
0,A king is for leading the country.
0,If you want to stay healthy then you should eat less red meat.
1,All rich people are immoral.
1,Sally used a life.
0,Jill wrote a message with a pen.
1,If you want to have a pee then you should find a living room.
1,If you want to have a rest then you should try to laugh.
0,I am looking at a picture.
0,The origin of Christmas in US.
0,Something you might do while attending school is take a test.
1,The residents of the moon are very friendly.
0,Sugar is a sweet food.
1,Every single kid loved loudly and fiercely.
0,Formal reprimand is the most popular form of official reprisal.
0,It is hot in summer.
0,I have an examination.
1,The effect of love is sadness.
0,He told her a happy story to cheer her up.
1,Teenagers can often carry guns.
1,restaurant can help people cure illness.
0,The first planet in the solar system is Mercury.
0,I always eat apples.
0,A hospital provides access to medical care.
1,They will make cats.
0,Something that might happen as a consequence of growing vegetables is you get tomatoes.
1,Jack used a book to cut the cake.
1,The father gave his boy a cigarette.
0,Washing your clothes requires water.
0,Bob bought the milk in the supermarket.
0,Suicide is voluntary.
1,a chef can mean to heal.
0,A seed can germinate without sunlight.
1,Our maths is taught by a PE teacher.
1,If you want to surf the web then you should open a word document.
0,You are likely to find a dog around in pet shop.
1,A pervert can offer candy to children.
0,playing a harp is for entertaining an audience.
1,There are many aliens in China.
0,A landlord can raise the rent.
0,chocolate can be made from cocoa beans.
1,You are likely to find a cat in ocean.
1,It helps mark the rail so we don't get lost.
1,A dog must do the housework.
1,You may see a stone in the bowl.
0,You would get paid because you want to work.
0,Having dinner is for nourishment.
1,We cooked the barn.
0,I rode a horse home.
1,Something that might happen as a consequence of cooking a meal is cooking utensils that are in need of breaking.
0,We answer a question.
1,Pattie flew on a plane to the Mars.
0,Edun didn't want to go on a hike.
0,The effect of hiking is seeing nature.
1,Jack's breakfast is stone.
1,My robot and I like going hiking.
0,Henry would like to find a house near the metrol station so it would be more convenient to take metrol to work.
0,A credit card wallet is taller and narrower than a typical wallet.
1,Drinking more liquor is good for health.
0,Running is good exercise.
0,Tony is going to the bank to withdraw some money.
0,He took his mother to the hospital.
0,You can buy a computer in an electronics store.
1,Second is the unit of measure of length.
0,Spit grape skin when eating grapes.
1,Cat has wings.
1,the computer can fly.
0,crush injuries made him hurt.
1,He exercised by playing the piano.
1,You must go to Tianjin if you want to visit the Forbidden City.
1,The shoes in the bookstore are on sale.
0,The turtle has a longer life than a dog.
1,Ancient Chinese like drinking milky tea.
0,Members of religions often take oaths.
1,Phyllis takes a rocket to work everyday.
1,A relative is a person who lives near you.
1,She foot was on the steering wheel.
0,you can usually find an oxygen tent at a hospital.
1,The last thing you do when you perform is jumping.
0,People watch television for entertainment.
0,Eggs can hatch chicks.
0,The balloon was pricked by a needle.
0,Newton discovered gravity.
1,Newton invented the light bulb.
0,Pizza is considered a finger food.
1,Fiber optics is often used to take care of body.
0,you might celebrate a new birth with a party.
1,The egret is a land animal.
0,The boat can float on the water.
1,a discotheque is for bathing.
1,Some chemistry can harm people.
1,The indian ocean is small.
0,David flied from China to America in two days.
1,he catches some horses in the ocean.
1,Love can give didespair.
0,Something you find outside is A tree.
1,Jeff gave his girlfriend a lose.
1,A deaf man can listen to music.
1,Santa Claus is the legend of the East.
0,Bagels taste great with cream cheese.
0,"The lower the rent is, the better it is for the tenant."
1,My brother's company requires employees to wear slipperies during work.
0,A singer tends to get popular because his songs are good.
0,a garage has at least one door.
1,you are likely to find dogs in an office.
1,Mr. Smith is on the phone with his pet.
1,Cat and mouse are friends.
0,This water came from glaciers.
0,You are likely to find a horse.
0,We hold a birthday party for someone's birthday.
0,You may find an elephant in the forest.
0,George is a racist. George hated his Mexican supervisor.
1,You would go to a swimming pool for dinner.
1,A one-legged person needn't boot.
1,Amy taught her dog to shake teeth.
1,Something that might happen as a consequence of attending a classical concert is you might enjoy a movie.
1,An activity you can do is to hurt people.
1,We felt very full after we left the gym.
0,"When Sungura and Fox emerged, all the animals gasped."
1,The sun rises from the west every day.
1,aprons keep out the rain.
0,a moving sidewalk is for transportation.
0,Mineral water is drinkable.
0,Communicating is for exchanging ideas.
1,"If you want to survive on a deserted island, you need to find money."
0,All programmers work with computers.
0,Wash your hands before eating.
0,The baby cried when he was born.
0,Drinking would make you want to empty your bladder.
0,You sit when watching a play in a theater.
1,One of the things you do when you wage war is kiss people.
0,Something you find at a wedding is friends.
0,Iron Man is a female hero in the Marvel universe.
0,The bomb is made of sulfur.
0,I want to buy a car.
0,children can have freckles.
0,Jewelry is valuable.
1,Wine is solid.
0,The effect of howling with laughter is joy within.
0,An actor plays a character in a play.
0,Cats likes fish.
0,Babies have a father and a mother.
1,There are many tomato soap in the bowl.
1,Sandy grew up on the moon.
0,Pamela drove across the border.
0,A front courtyard is in front of a building.
1,Janice fry a birthday cake.
1,Jane put the notes recorded on a leaf.
1,Lightning struck the sun.
1,A dental office is for physical examination.
0,Almost anyone can master their native tongue.
0,Scenery is used to help an audience visualize the simulated environment.
0,Something you might do is hold a phone when you play the game.
1,you need a fork to eat soup.
1,The brain stores water.
1,You may find a train in the sky.
0,The train needs the track to drive.
1,Cauliflower is a vegetarian.
1,Oscar got a clever tire.
1,A rabbit can run.
0,We can see the moon tonight.
0,Bee collecting honey on a flower.
1,One can open a plate.
0,An apple can be used for eating.
0,"John ran around the ship's pool, and fell in."
1,We will laugh when we see a tragedy.
1,A thing you might want to do before traveling to another country is to download a movie.
1,Jane doesn't know her birthday.
0,telephones can require electricity to work.
1,Will had climbed many more monitors.
1,The preparation to become a doctor is to get a lawyer's qualification certificate.
1,Dressing nice can disturb people.
0,If you want to take a course then you should go the registration office.
0,A man landed on the moon.
1,Northerners wear t-shirts outdoors in winter.
1,Lisa taught John how to breath.
1,One of the things you do when you sleep is hold a book.
0,Gloves can be used to protect your hands.
1,Wood can conduct electricity.
1,Jerry likes to have bread with soy sauce for breakfast.
0,You find a planet around in space.
1,The plant is yellow.
1,The effect of going to the store is gaining money.
1,Something you need to do before you eat dinner is eat food.
1,You are likely to find a soup dish around in a bathroom.
0,If you want to surf the web then you should buy a computer first.
0,Sally bought a new car..
0,They had walked two miles.
1,Dad washes his feet before every meals.
0,I am trying not to smoke cigarettes.
0,Silk feels soft.
0,Iron is one of the materials for making knives.
0,boats can float in water.
1,Something you find at a resturant is a tiger..
0,A vase is a decorative item.
1,Chicken in pond.
1,The temperature rises and water turns to ice.
1,The thing you need to do before you go on holiday is sing.
0,Children played together every day.
0,Most people like chocolate cake.
1,You can eat a stone when you are hungry.
0,You can feed a dog with dog busicuits.
1,kissing someone is for showing your disgust.
1,Pig is probably in a class.
1,The Uranus can be seen from the Moon.
0,The sun rises from east every day.
1,One must drink a lot before driving.
0,"When there is a lightning, people always see the flash first, and the thunder follows."
1,People can make snow ball in summer.
0,Floor will get slippery if there is water on it.
0,Warfare is a disaster for human race.
1,People need lots of noise for study.
0,One can have cheese in his hamburger.
1,People can breath in the water.
0,Most product's price contains tax.
1,You will make more friends by cursing others.
1,People should talk louder in the cinema.
1,He wear sunglasses because he is short-sighted.
0,One should drive car on the road.
1,An aircraft landed on my desk.
1,Some people are boiling hotpot on an reactor.
1,Engineers built a bridge in the class room.
1,I saw a cow walking in a tree.
0,The professor write on the beach with a tree branch.
1,Our sniper terminated an enemy from eight hundred miles away.
0,We should close the window if there's going to be a storm.
0,One should practice more in order to get good grades.
1,"It's too hot outside, so we smashed our air conditioner."
0,Modern people spend more and more time in watching their cell phone.
0,The organizer prepared energy drinks for the athletes.
0,"Comrades, said the commander, the war has begun."
1,He was expelled from school because he drunk lots of water.
1,The subway was too crowded to enter in the midnight.
0,She added extra sugar in her bubble tea.
0,That player was respected by people since he scored in the last minute.
0,The train hits a cow on the railway.
0,Nazi is a disaster for Jewish people.
1,It is 39 PM now.
0,He wrote those code on a Macintosh.
1,The hat on his ass is beautiful.
0,He ate steak for his lunch.
1,He moved the book shelf into his pocket.
0,"It is so cold today, thus she wears her coat."
1,The workers found an ancient iPad when they were digging the ground.
0,The waitress served him coffee when he was in the airplane.
0,The robber was caught by the police.
0,He is wearing a green hat.
1,The driver exceeded sound speed with his motor cycle.
0,The soldiers surrendered after months of warfare.
0,Vitamin C is essential for health.
1,"Finally, the babies turned their weapon to the innocent citizen."
1,The infant drank lots of beer for its lunch.
0,"""My brother was killed in the car crash"", he said."
0,"It's his wedding ceremony today, so he chose a fancy suit for himself."
1,"His dog is walking on the street, holding him."
0,The camera of my laptop is spying on me.
1,"He likes playing video games, especially when he is sleeping."
1,He is eating a elephant.
1,"He slammed his friend, hoping to invite his friend to his party."
1,The athlete was the champion of drinking soy sauce.
1,"The war started, thus the soldiers can go home."
1,Jack's mom praised him because he broke the plate.
0,His girl friend gave him a box of chocolate as valentine's day gift.
0,The tyre of the bus exploded.
0,The astronaut took a space ship to the ISS.
0,The sky is so blue today.
0,He is consistently coughing since he smoke too much.
1,People spend time in the gym in order to learn math.
0,Those students skipped the class to play lead of legend in the internet cafe.
1,The girl took a selfie with her backpack.
0,The surgeon told the patient's family that the surgery went smoothly.
1,"""They finally scored!"", said the narrator, ""They are the final loser of this match.""."
0,"Don't eat too much potato chips, they are junk food."
1,"The tram stopped, since the tyre of the tram exploded."
0,"He just bought a new head phone, thus he can't wait to try out the sound quality."
0,He was so angry that his face turned red.
1,The lightning made the whole city as dark as in the night.
0,The prisoner is set free after three years in prison.
1,The bus hits air and stopped.
1,"Since the time is running out, he chose to walk to the airport instead of taking a taxi."
0,"The lady paid the bill, then tipped the waiter."
1,He blew out the light.
1,Police in Mars are allowed to use legal force.
1,The passenger force landed the airplane and avoided a severe crash.
1,"The president attended the final match of the world cup, hoping their team will lose."
1,"The boy suddenly stroked, his mom called the firefighters immediately."
0,"""I'm proud to be gay"", said Tim Cook, Apple's CEO."
0,"You are rich, I'm so jealous."
0,He uses chopsticks to eat sushi.
0,"""You are so beautiful"", the boy told the girl that he loves."
0,I feel myself like a cheap worker since I work so long and earn so few.
0,"Prague is an old city, it has been existed in Europe for more than a thousand years."
1,He was so shocked because a dog confessed to him.
1,"I cannot upload the picture, because my laptop got connection with WiFi."
1,Creativity is the thing that differs Germans and Italians.
0,"There is a huge no smoking warning, thus people should not smoke here."
1,The engineer was glad because his son deleted his project.
1,He turned on the radio before he is going to make an U turn.
0,The driver suddenly brake since there is a girl on the road.
0,"It's raining heavily, people on the street all have an umbrella in their hands."
1,The player's fans all want his tears.
1,He just had an surgery because he thinks it's fun.
0,Eating fish is the secret to keep fit.
1,"He turned on the light, then the house fall into darkness."
1,His neighbor told him to turn on his TV because of the noise.
0,"The police caught the terrorist on time, stopped him from bombing the airport."
1,I was early for the office because of the traffic jam.
1,He was arrested by the police because he listen to music.
1,Many people died because of the medicine.
0,People will be happy if you greet them when you see them.
0,The astronaut is lucky enough to survive in the explosion.
0,He bought tons of cola because he was too thirsty.
0,It's unbelievable that ancient people learnt how to make iron.
0,The cow is eating grass on the grassland.
0,The eagle fly away before people catch it.
0,The bacteria community thrives on a piece of bread.
0,The forest fire caused huge financial loss.
1,There is a way to cure every kind of cancer now.
0,The old lady bought insurance because she is afraid of air crash.
0,"The speaker is damaged, thus I can't hear anything."
0,His girl friend is angry because he ignored her new dress.
0,Adding some sugar to the coffee will make the flavor easier to be accepted.
0,"My cell phone is out of battery, I need to charge it before I go."
0,"The athlete is so thirsty, he drank a whole bottle of water."
0,Books can bring people new knowledge.
0,"I bought a cat as my pet, it's so cute."
1,I smashed the papers to make them easier to read and take notes.
0,"Don't forget to bring a shopping bag to the supermarket, it make us more environmentally friendly."
0,The crab is served with ginger vinegar.
1,"""Fuck off!"", said the waiter, warmly welcoming the boss."
1,"""It's none of your business"", said the staff, apparently he wants to shirk responsibility."
0,"The hiker is badly injured in the mountains, and is rescued by a helicopter."
1,"In Germany, whenever you buy plastic bottle, you should pay a penalty."
0,Sesame oil makes the hotpot dip more delicious.
1,"All man are born equal, but they share the right to have protest demonstration."
0,It brings tons of trouble if someone cross the border without a passport.
0,Staying in the battlefield can be dangerous.
0,"Our ancestors worked so hard in the farm, hoping to harvest in fall."
0,"It's so hot here, seems everything caught fire."
1,The engineers tear the building down with candies.
0,The employee is so happy to get the salary from the employer.
1,People are so glad to see the heavy smog in the winter morning.
1,"There must be trams, since there is no railway on the road."
0,I'd like a window seat to have a better view of the landscape.
0,"Wood can float on the water, thus you can make a boat with them."
1,"Metro door is closing, please be quick."
0,"I need an alarm clock, or I could be late for office."
0,The car rolled over because of a sharp turn.
0,"This photo is took by a drone, what a good perspective!."
1,A steak will give a happy ending to this meal.
1,The dish is too spicy since I just added too much salt.
0,The soccer fans is going to watch the last match of this season in the arena.
0,I paid more than a hundred euro because I smashed my cell phone's screen.
1,I had chairs from Subway as my lunch.
1,"It's too far to get home from the supermarket, thus I choose walking on foot."
1,"Upgrading the seat can give you a more comfortable seat, but it also means less money."
0,The charging case can help your cell phone's battery last longer.
0,"You should be careful in Italy, since there is so many thieves."
1,Imported cars don't sell well in mainland because the tax is too low.
1,High tuition is the reason why so many students are reluctant for choosing schools in the US.
1,"Voyager 1 takes a hamburger as a gift for aliens, representing all human race."
1,"That movie is awesome, that's why its box office is damn low."
1,"The Last of Us is an excellent video game, it's famous for its taste."
1,Watching video for the whole day is good for your eyes.
0,"The price of gold keeps rising, it's time to sell off."
0,He can't unlock the phone since he forgot the password.
0,He was recognized for saving the girl from the fire.
1,"When I get into my car, I saw a giraffe on the wheel."
0,"It's getting hotter and hotter, we need to turn on the air conditioner."
0,"Her father was murdered, thus she is seeking for revenge."
1,The city is abandoned because of the firework.
0,The train stopped by the platform.
0,He got to known his girl friend in a party.
0,"I don't believe in the journalists, they are writing fake news."
0,Teaching fake history can give student wrong opinion about their nation's past.
1,Mistakes are the things that one do rightly.
1,Millions of people died because of the excellent policy of that country.
1,She is sobbing because she won the lottery.
0,The french fries contain too much oil.
1,The suspect was executed because of the lack of evidence.
1,"He left his luggage in the airport, thus the luggage have to go back."
1,Adding some lemon juice to oyster makes the taste sweet and refreshing.
1,French people don't eat sugar because they are too spicy.
0,"When people say ""Cheers"", you should drink all the spirit."
0,"The longer time the wine is stored, the better taste it will have."
0,One can use oven to make popcorn easily at home.
1,Beach sand sand solved Japan's famine problem after world war 2.
0,Making a living in a big city is not so hard.
0,"If you are injured, you'd better go to the hospital fast."
1,The YouTuber make a living by making rockets.
1,He travelled around the uninhabited island by train.
1,Enjoying sunshine in the supermarket is a wonderful experience for people.
1,"The sea is so red, as I saw in the beach."
1,Catching fish with an iPhone is viable.
0,The hallway is lighted by LEDs.
0,They are collecting wood to make a bonfire.
1,Making fire is not that easy for modern people.
0,"Stay away from the beach, there is shark in the water."
0,He is trying to make a fire with wood on an island.
1,Keep a negative attitude and your life will be happy.
1,He announced the time according to the roof in the church.
0,"There is too much oil in the dish, the calories mush be extremely high."
1,He was kicked off the train since he don't have a valid graduation certificate.
0,"Whenever you miss me, watch the moon, I'm just right there."
1,"The train reaches its next station, every passenger shall get off the train."
1,"The tank arrived just in time, the injured person is thus saved."
0,The adventurer found its way by watching the stars in the night sky.
0,The astronauts all died because the spaceship just ran out of oxygen.
0,The passenger saved his luggage in the overhead cabin.
1,The people all laughed after they saw the disaster of 911.
1,The aircraft landed on the highways as normal.
1,Lots of employees were early for office today because the subway was late.
1,He suddenly accelerate the car by stepping on the brake pedal.
0,There is a person hiding under the bed.
0,The doctors cured his disease.
0,The train is running fast on its railway.
1,The forest fire saved acres of woods.
1,"If you don't know how to solve the problem, just answer it."
1,"The traffic light goes green, he have to stop."
0,The troop asked for assistance with their radio.
0,There is a huge spider in my backyard.
1,The kid have to eat up the fork because his mom insist so.
0,The loud music and alcohol made people in the party enjoy themselves.
1,His girl friend was so annoyed because he was early for the appointment.
1,Salads are usually considered junk food.
0,The government built lots of concentration camps to brainwashing the civilian.
0,I asked for a straw in McDonald's.
1,The public is annoyed with the quick response of police in that accident.
0,I poured cola into the cup.
1,That person is on a wheel chair thus he have to use the steps when going upstairs.
0,"Having been staring at the display for a whole day, my eyes feel sick."
1,I bought a Spezi from a washing machine.
0,He saw me through the window.
0,The ancient knight killed another knight with a sward.
1,He copied lots of files in a copy shredder.
0,He hand in the paper after finishing that.
1,He picked up his Tesla car and got off the train.
0,He unlocked the door with the keys.
0,That guy raised the umbrella to shield himself from the rain.
0,He bought a hamburger in the dining hall.
1,She mailed some boats in the post office.
1,He got to know the time by watching his ass.
0,We can sit down since there is enough seats in the train.
1,Someone forgot the liver on the train.
1,There is a picture printed in the coffee.
0,"The train reached its terminal station, everyone left."
0,I'm having haircut at the barber's.
1,The wooden mirror in the house looks beautiful.
0,Our ancient sailors found America continent by ship.
1,"Those students love this place so much, they are happy to say farewell."
0,The police refused that person to get out of the train station since he cannot provide ID card.
0,The racer drives extremely fast in the field.
0,The fans screamed for the last goal.
0,Some lemon juice will help to cure your cold.
1,The airport witnesses so many deaths and injures.
1,One have to be young enough to play the shooting game.
1,"For seafood allergic people, they'd better not to eat bread."
0,Cheating in the game is not fair for other players.
0,Taking one's own chopsticks to restaurant is better.
0,I got a hair cut from the barber.
1,I found the car's trace on the cement road.
0,We were late for the meeting because of the traffic jam.
0,He went so drunk that he didn't remember anything last night.
1,She is so afraid of darkness that she laughed in the dark house.
0,They have to say farewell to each other because they are leaving.
0,They liked the movie so much that they watched it twice.
0,People don't need to bring cash with them if they have credit card with them.
1,"If you use speaker to enjoy your music, you won't bother others."
1,The fire alarm is triggered because he vomited in the toilet.
0,"If you don't want to carry things on your hand, bring a backpack."
0,The host forbid others entering the house by building fence around his house.
1,You'd better not try that dish if you can't tolerate rock music.
1,Don't forget to turn off the light if you're the first to come.
1,The couple enjoyed their sex in the bus.
1,They used that application and called a bus.
1,the sun will rise up from the west.
0,the law can be changed.
1,people will repeat the same mistake.
0,drinking wine is harmful for health.
1,put our hands into the fire is safe.
1,two man can't fall in love with each other.
0,Men can wear skirts.
0,Air conditioning may be used in summer.
0,A car is faster than a bike.
0,The day is brighter than the night.
0,There are no human beings living on the sun.
1,Rabbits eat lions.
0,"if you want to eat food, you can cook for yourself."
1,"If you fall, you will break a bone."
0,People eat with their mouth.
0,Pandas can't be hunted.
1,"If you want to lose weight, eat junk food."
0,"If you want to be white, don't get in the sun."
1,Eating vegetables is bad for health.
1,"If you want to make friends, you should stay alone."
0,Dogs are our friends.
1,Mosquitoes won't bite people.
1,The arctic ocean won't freezes in winter.
0,A thief stole my money.
1,I eat the sun today.
1,My brother is menstruating.
1,My brother likes flying.
0,There may be aliens outside our solar system.
1,Eating fruit is bad for your health.
0,Jack caught a bear in the jungle.
1,"If you want a wound to heal quickly, put it into the dirty water."
0,"I'm so hungry,so I have to eat food."
0,I can see the light of the lamp.
0,"If you want to arrive quickly, take a plane."
0,Wear short sleeves if you want to get cool.
1,Get more sleep if you want to get fit.
0,Rains are falling outside.
0,"If you want to protect your eyesight, see more of the scenery."
0,"If you want to keep warm, stay close to the fire."
1,work if you want to relax.
1,Too much exercise can lead to health.
1,There are aliens on the moon.
1,All animals are very aggressive.
0,"If you want to see farther, go to the mountains."
1,Stand in the sun if you want to cool off.
0,Take an umbrella when it rains.
1,Staying up late is good for health.
1,Studying abroad will reduce your knowledge.
1,Drinking more water is bad for health.
0,Humans cannot breathe the Martian air directly.
1,Rats are the largest land animals.
0,Man is not the fastest animal.
1,Electronic devices bring nothing but harm to human beings.
0,Driverless cars bring a lot of convenience to human beings.
1,More people will be more productive.
0,Machines will go wrong.
1,Fish are flying in the sky.
1,Money is everything.
1,People can stop breathing.
0,Good-looking people are not sure to find jobs.
0,All leaves are not necessarily green.
0,I go to the restaurant to eat food.
1,I went to the moon to pick apples.
1,I was thirsty so I went to eat bread.
1,I felt cold so I took off some clothes.
1,"If you want to get good grades, play games."
1,China's history is short.
0,Man can't breathe in space.
0,I saw a tiger in the zoo yesterday.
0,I got hurt so I went to the hospital.
0,Jim doesn't like fruit so he never eats apples.
1,Mike had no money so he went to buy luxuries.
1,Two lovers are bound to get married.
1,First-class airline seats are for the fat.
1,The telephone is the most important thing in human society.
0,I had bread for breakfast.
0,I went out in a skirt.
1,He was very happy because he got low marks in the exam.
0,He went to prison for murder.
1,The soup was very bad I drank a lot of it.
0,I left my keys at home.
1,I lost my shoes while I was waiting for the traffic lights.
1,There was a tornado outside so I went for a walk.
0,My leg hurt so I stayed at home.
0,I smoke in the smoking room.
1,I drink my tea slowly during the earthquake.
0,I grow potatoes in my farm.
0,Cut off your toenails if you don't want your socks to cut.
0,I like swimming in the swimming pool best.
1,The roof was covered with wind.
1,I'm going to walk to school because I'm in a hurry.
0,I feed my dog every day.
1,He explained detailed steps on the sky to all the students.
1,The music played by table can give people a relaxing atmosphere.
0,It's sweet for couples to reunion.
1,I need to be patient to catch my schedule.
1,People have to pay for the delivery if they subscribe to the music stream.
1,People have to swim for a long distance in a marathon.
1,The pianist earned face palm in the hall.
1,Adding some vinegar to lemon juice will make it not too sour.
0,The troop detected enemy plane with their radar.
1,The last movie of the game is awesome.
0,Running in the hallway is not safe.
1,A camera can prevent cell phones from smashing the screen.
1,He is fined for throwing garbage into the dustbin.
0,"To become a state of law, laws have to be strictly executed."
0,Plastic bags is causing severe pollution to the environment.
0,People obtain sea salt from the ocean.
1,"Since he is about to leave, his roommates give him a surprise funeral."
1,The sand on the road reflects the pure blue sky.
0,"The piano masterpiece called ""pure white"" sounds beautiful."
1,Two president exchanged their opinion in the brothel.
0,I got in the supermarket from its entrance.
1,"There is no speed limitation on Germany highway, thus the driver can drive as far as they can."
0,You should turn to the dentist if you have problem with your teeth.
1,The police gave the robber a head shot with a water gun.
0,Our hypocritical president pretend to be close to people by having buns in a public restaurant.
1,It's hard to recognize what's in there in an objective painting.
1,The ship harvested lots of fishes from the mountains.
0,A drifting bottle can travel with the ocean current.
1,The employees feel sleepy because the lighting is too bright.
0,Having a bath at night will make people feel released.
0,The driver stored all the luggage in the trunk of the car.
0,He sent a postcard as a souvenir to his girl friend.
0,They built a monument for all the dead heroes during the warfare.
1,"He is poor at written English, thus he is afraid to talk to others."
0,Dead people cannot become alive.
0,Refugees brought lots of safety concerns.
1,The metro started service because of the metro driver's strike.
0,"It's a town far from the city, I can see stars shining in the sky."
1,They have some whales in their fish tank.
1,He subscribed to that channel since he disliked their videos.
0,"The water quality is not good enough, thus I bought bottle water."
0,He wrote all the key theories in his cheat sheet.
0,He discussed the exercise problems with his classmates during the tutorial.
1,The sky turned green during the sunset.
0,He plays FPS game to kill his time.
1,He feels alone because everyone talk to him.
1,Everyone in that province is celebrating because of the severe earthquake.
1,The phone sold well because customers think it lacks of innovation.
1,People have a great probability to travel to Mars by bus in the following decades.
1,Workers are ordered to wear underwear in order to keep themselves safe.
0,Diseases make people suffer from unpleasant feelings.
0,Surgery develops as time passes.
0,Talking in one's mother tongue makes one feel warm.
0,Traditional culture is a two edges sward.
0,The choir is preparing for their next performance.
1,"Heavy clouds are hovering above my head, there must be good weather soon."
1,The pilot was not even injured after the air crash since he had watch with him.
0,I had a nice sleep on my bed.
1,He inflated his breast with a inflator.
1,He cannot get his PhD degree because he doesn't have wife.
0,The DJ made the whole party extremely high.
1,"Don't get too close to the ant, it may eat you."
0,"We create poem because we are human, and the human, is full of passion."
0,People gain satisfaction from self-realization.
0,Split the smoke directly to one's face is offensive.
0,People may fall in love with someone they already know.
0,There is different kinds of flowers in the tea.
0,Their slogan sounds pretty good.
0,Dipping fried chicken into chili sauce is delicious.
1,The factory contributes lots of rain to the local community.
0,"The ridiculous policy caused declination of food production, thus caused the famine."
1,We used our tax income to help foreign poor people.
0,Drinking more milk will help you grow taller.
1,He toggled the switch to turn his ass on.
1,He is waiting for his flight in the metro station.
0,"Finally it's time to leave, I'm upset to say goodbye to my friends."
0,"If you fall, the acceleration is towards the ground."
1,"I have to return the borrowed book to the library, or I would have souvenir."
1,The patient finally decided to donate his ash after he died.
1,She jumped off the table to find her died lover.
1,The game handle is popular among music loving teenagers.
1,The pianist is famous for playing violin.
1,The tsunami impact caused millions of people finding their home.
1,The doctor prescribed him penicillin to fight back his enemy.
1,"The old man is gone for a business trip, leaving his heritage behind."
0,The spirit is not suitable for kids since it contains too much alcohol.
0,He loves this song so much that he plays it over and over again.
0,Animal protectionists are striking to prevent people from killing whales.
0,"The train will take you far away, but it doesn't matter."
0,People have to register to the local government when they decide to live somewhere.
1,"They will definitely leave here, since they had such a happy life in this place."
0,Today is April 30th.
1,A good knowledge of English will improve your chances of unemployment.
1,You might as well throw your monkey away as spend it in gambling.
0,I am a football fan.
1,He eats a large income.
0,Can you move out of my way!.
1,Did you drink the bus?.
0,Does the computer ever make a mistake?.
1,Draw your chair up to the moon.
1,Not a soup was heard.
1,He is running an old man.
1,I get up at twenty five o'clock.
0,I meet the boss himself.
0,He is collecting money.
1,He was born in volcano.
0,he covered himself with a quilt.
1,They crowned him queen.
1,Even a dog can answer this question.
1,he sat with his arms across the street.
0,May I ask some questions?.
1,There was a notice in the policeman.
0,he hired a workman to repair the fence.
0,The doctor is taking my blood pressure.
1,We are good burgers.
1,When was the horse built?.
0,I walked across the park.
0,Winter is a cold season.
1,he never misses a chance to drink a movie.
0,Did you enter the contest?.
0,It's only a party in honor of my birthday.
0,Cancer is a deadly disease.
0,He walks with a quick pace.
1,My brother is drawing a job.
0,Have you cleared your luggage with customs?.
0,He shot the lion with a gun..
0,She is a good-looking girl.
1,Spring is a pretty cake.
0,This pen doesn't write well.
1,"All at once, a star came out of a hole."
