sent0,sent1,label
Fish fly over the lake.,Fish swim at the lake.,0
My brother is a horse.,My brother is a human being.,0
One goes to a dentist to satisfy his hunger.,One goes to a restaurant to satisfy his hunger.,0
Some people gamble at the casino.,Some people gamble on the moon.,1
He makes music with a tennis racket.,He makes music with a drum and sticks.,0
She put on her shoes.,She put on a walrus.,1
The golfer used a golf club to hit the ball off the tee.,The golfer picked a squirrel to hit his ball onto the fairway.,1
She put a note in the fridge for lunch tomorrow.,She put leftovers in the fridge for lunch tomorrow.,0
Your arm is connected to your butt.,Your arm is connected to your wrist.,0
Hamburgers are triangular.,A slice of pizza is triangular.,0
Superman is a real life sushi chef.,Superman is a comic book superhero.,0
I picked a grape from a tree.,I picked a pear from a tree.,0
He rode a horse.,He rode a pineapple.,1
She went to hair salon to buy bananas.,She went to the store to buy bananas.,0
I like to be trees.,I like to go for long walks.,0
I put the remote in the TV to watch TV.,I use the remote to watch tv.,0
Boat is a small vessel for travelling over water.,Ship is a small vessel for travelling over water.,1
They filled the bucket with more buckets.,They filled the bucket with cold water.,0
I put the groceries in the dishwasher.,I placed the dishes in the dishwasher.,0
The dog ate the meat.,The dog was eaten by the meat.,1
She took her dog for a walk.,She took her fish for a walk.,1
A parent can teach that praying to god is good.,A parent can teach the child that praying to god is bad.,1
He ate a taco.,He ate a desk.,1
Jack named her clover Puppy.,Jack named her puppy clover.,0
He had a strange potatoe infection.,He had a strange bacteria infection.,0
The man spoke hysterically.,The platypus spoke hysteryically.,1
She played the lottery and won a husband.,She played the lottery and won money.,0
He ate a rock.,He ate a sandwich.,0
I like to visit other fridges.,I like to visit other countries.,0
He blew his nose with a dog.,He blew his nose with a tissue.,0
She put her book between the wildflowers.,She pressed wildflowers between chapters of her book.,0
I like to listen to oranges.,I like to listen to classical music.,0
He answered the phone when it rang.,He answered the soda bottle when it rang.,1
If it is cold most people sleep under a blanket.,If it is cold most people sleep under a snake.,1
A black horse rode a boy on a saddle.,A boy rode a black horse on a saddle.,0
The frog ran down the road.,He ran down the road with his dog.,0
Cricket is a bat-and-ball game played between two teams of eleven players on a field.,Football  is a rectangle ball game played between four teams of eleven players on a field.,1
Something you would find for sale in a hardware store is a hammer.,Something you would find for sale in a hardware store is a suit.,1
He liked to watch television with his mom.,He liked to watch television with his giraffe.,1
I like to wear my sunglasses to hide my eyes from the others.,I like to wear my sleeping mask to hide my belly button from the others.,1
I saw a school of fish when I went snorkeling.,I saw a school of fish when I was on the airplane.,1
Boiling water is cold.,Boiling water is hot.,0
He ate a car.,He ate a pizza.,0
I eat salad for lunch everyday.,I eat video games everyday.,1
Golf is a violent sport.,Boxing is a violent sport.,0
The cowboy rode into town on a whale.,The cowboy rode into town on a horse.,0
He walked through a close door into the garden.,He walked through an open door into the garden.,0
She got a planet for her birthday.,She got a bicycle for her birthday.,0
Flounder is a type of fish.,Cheddar is a type of fish.,1
He can see himself in the mirror.,He can see his back in the mirror.,1
Leaves fall from fence branches during autumn.,Leaves fall from tree branches during autumn.,0
i fished salmon for diner.,i served salmon for diner.,0
She swatted away a fruit fly.,She swatted away a commercial airplane.,1
He put the car in the kitcken sink.,He put the dishes in the kitcken sink.,0
I traveled to Spain by bird.,I traveled to Spain by plane.,0
Some brief cases have horns on them.,Some brief cases have locks on them.,0
He can play the airplane.,He can play the guitar.,0
A leopard is a type of canine.,A coyote is a type of canine.,0
He put a horse in the fridge.,He put an apple in the fridge.,0
Looking at too much sugar can give you cavities.,Eating too much sugar can give you cavities.,0
They started their car and drove away..,They started their pterodactyl and drove away.,1
I need to go to saturn.,I need to go to the doctor.,0
Tesla makes electric cars.,Tesla makes gasoline powered cars.,1
Caterpillars turn into butterflies as a part of metamorphosis.,Caterpillars turn into platypuses as a part of metamorphosis.,1
An apple a day keeps the doctor away.,A engine a day keeps the doctor away.,1
Cows have black and whites spots.,Cows have wings.,1
He rode a bicycle.,He rode a notebook.,1
A human is a dog.,A human is a homosapien.,0
She walked the dog outside in the ocean.,She walked the dog outside on the lawn.,0
Pluto is the only human inhabitable planet.,Earth is the only human inhabitable planet.,0
He watches tv.,The apple watches tv.,1
I put gas into my car today.,I put soda into my car today.,1
I drove from Los Angeles to New York City.,I drove from Los Angeles to Berlin.,1
The siren barked at the puppy.,The puppy barked at the siren.,0
She likes to mount ants.,She likes to mount horses.,0
Grandma misplaced her Bigfoot.,Grandma misplaced her glasses.,0
The woman ran on the treadmill.,The woman ran on the water.,1
The laptop is on the oven.,The laptop is on the desk.,0
The woman washed the sponge with the plate.,The woman washed the plate with the sponge.,0
Nirmala Sitaraman is India's last woman finance minister.,Nirmala Sitaraman is  India's first women  finance minister.,0
The astronaut flew to space in a rocket.,The astronaut flew to space in a submarine.,1
The baseball player made a touch down.,The baseball player made a home run.,0
I like to wear jeans.,I like to wear helicopters.,1
New York is in France.,Paris is in France.,0
A lion can be found in Afrca.,A lion can be found in Antarctica.,1
The baby cried for its mother.,The tree cried for its mother.,1
The trade war with China will make Christmas more expensive.,The bidding war at the auction will make everyone happy.,1
Broccoli grows on trees.,Broccoli is full of vitamins.,0
She spilled the car on the floor.,She spilled the soy sauce on the floor.,0
The rainbow is very beautiful at night.,The moon is very beautiful at night.,0
She put clothes in the dryer to clean them.,She puts clothes in the washer to clean them.,0
He hit a golf ball with a golf club.,He hit a golf ball with a smoked sausage.,1
She took the dumpster to the trash.,She took the trash to the dumpster.,0
The bird flushed the tree.,The bird flew to the tree.,0
She poured cream into her coffee.,She poured lava into her coffee.,1
He unlocked the door with a key.,He unlocked the door with a fish.,1
She danced with a whale.,She danced with a man.,0
The desk is a writing instrument.,The pen is a writing instrument.,0
An elephant will go in a mail box.,Mail will likely go in a mail box.,0
The Jazz musician loves to play saxophone.,The Jazz musician loves to play the telephone.,1
I stepped in a puddle and got my shoes wet.,I stepped in a puddle and my pants fell off.,1
I bought my son a candy bar as a treat.,I bought my son an elephant as a treat.,1
Halloween is a holiday in october.,Halloween is a Holiday in march.,1
Primary school teachers worry about their students.,Primary school teachers worry about their students' grandparents.,1
I will watch a movie on my television.,I will watch a movie on my dishwasher.,1
You need a gun to travel abroad.,You need a passport to travel abroad.,0
He used a potato to clean his ears.,He used a cotton swab to clean his ears.,0
Spaghetti is an Italian food.,Burritos are an Italian food.,1
Wolves are a great pet to have for families with kids.,Dogs are a great pet to have for families with kids.,0
Gas is used to power a television.,Gas is required to move a car.,0
The pumpkin is orange..,The pumpkin is window.,1
December is the last month in the year.,December is the first month in the year.,1
That cow produces good gold.,That cow produces good milk.,0
A hairdresser cuts your hair with a scissor.,a dog cuts your hair with a scissor.,1
She went to the pet shop to buy a new dress.,She went to the clothing store to buy a new dress.,0
"Plato is a philosopher, and all philosophers are men, therefore Plato is a man..","Plato is a man, and all  philosophers are men, therefore Plato is a philosopher.",1
I want to eat a football.,I want to eat a sandwich.,0
She gave the toaster a bath.,She gave the dog a bath.,0
He played a game with his sister and his friends.,He played a game with his sister and his dead grandma.,1
My kids enjoy playing in a park.,My kids enjoy playing in a church.,1
I take the lawn mower to work every morning.,I take the bus to work every morning.,0
I was swimming when I found a typo.,I was reading when I found a typo.,0
The King put the clown on his head.,The King put the crown on his head.,0
He likes to pour fuel on his eggs.,He like to pour ketchup on his eggs.,0
He drove his car to work.,He drove his couch to work.,1
Atlanta is the state capitol of Hawaii.,Phoenix is the state capitol of Arizona.,0
The intern brought giraffes for the office.,The intern brought doughnuts for the office.,0
Smoking weed is starting to become more excepted across the country.,smoking eggplant is starting to become more excepted across the country.,1
He drank a glass of water.,He drank a glass of gasoline.,1
He fell into the ocean from the sky.,He fell into the ocean from the reef.,1
The lady bought a ham from the grocery store.,The lady bought a store from the ham.,1
The tree ran up the cat.,The cat ran up the tree.,0
She uses soda to draw.,She uses pencils to draw.,0
Nobody goes to Joe's Pub becasue its too crowded.,Sam doesn't like to go to Joe's Pub becasue its too crowded.,0
"To see a film at a movie theater, a person needs to buy popcorn.","To see a film at a movie theater, a person needs to buy a ticket.",0
My computer turned off.,My computer turned into a monkey.,1
I picked an apple from a tree.,I picked a pumpkin from a tree.,1
Adam took the dinosaurs to the park.,Adam took the kids to the park.,0
He took the bus to work.,He took the house to work.,1
She charged her phone.,She charged her apple.,1
Many cats like apples.,Many cats like tuna..,0
She cooked a library on the grill.,She cooked a salmon on the grill.,0
Lee parked his truck in the driveway.,Lee parked his bus in the driveway.,1
She does yoga in the mustache.,She does yoga three times per week.,0
She carried her books in her backpack.,She carried her car in her backpack.,1
Charles is laughing.,Charles is barking.,1
The teacher sent the rainwater to the class using e mail.,The teacher sent the homework to the class using e mail.,0
He put his mustache into the computer form.,He put his password into the computer form.,0
You can call someone using your tv.,You can call someone using your phone.,0
She drove her car to the grocery store.,She drove her oven to the grocery store.,1
He kept the table on the beer bottle.,He kept a beer bottle on the table.,0
The man went to New York to see the Statue of Liberty.,The man went to India to see the Statue of Liberty.,1
Dan parked his car in the street.,Dan parked his plane in the street.,1
Mom cooks soup with a knife.,Mom cooks soup with a fork.,0
We have to wait until the bananas turn from green to yellow to eat them.,We have to wait until the steaks turn from green to yellow to eat them.,1
"Her car broke down, luckily a squid stopped to help,.","Her car broke down, luckily a mechanic stopped to help..",0
The man walked on the sidewalk.,The man walked on the ocean.,1
The man rode his bike to the store.,The man rode his ant to the store.,1
Smartphones are necessary for life.,Food is necessary for life.,0
He washed the dishes in the sink.,He washed the dishes in the oven.,1
The horse flew across the open field.,The horse ran across the open field.,0
I picked a flower that had grown in my front yard.,I picked a flower that had grown in my ear.,1
She had cats on.,She had shoes on.,0
Most people drink milk with their cereal.,Most people drink fire with their cereal.,1
A guitar is a musical instrument.,A guitar is a kitchen gadget.,1
When you have a book you can read it.,When you have a book you can cook it.,1
I ordered a chicken sandwich from the Popeye's establishment.,I ordered a jet engine from the Popeye's establishment.,1
A tv  can be for driving outside.,A tv is for watching shows.,0
She loves to shop for hammers at the local hardware store.,She loves to dance provocatively for money at the local Walmart.,1
The boy drives a go kart.,The boy drives a semi truck.,1
Milk comes from a cow.,Milk comes from an apple.,1
He ran as fast as a jet plane.,He ran as fast as a dog.,0
A person wants to be lazy sometimes.,A person wants to be lucy sometimes.,1
Dog is man's best friend.,Tiger is man's best friend.,1
I put a pie in the oven.,I put a car in the oven.,1
It took him 18 months to build his house.,It took him 18 minutes to build his house.,1
when it rains you will become wet.,when it's wet you will become rain.,1
She ran into the sun.,She ran into the store.,0
He took the hot air balloon to get to work.,He took the bus to get to work.,0
The plane landed in Seatac airport.,The plane landed in Mars.,1
The store can walk to you.,You can walk to the store.,0
The lion ate a chicken.,The chicken ate a lion.,1
Tomorrow the sun will be shining on his skin.,Tomorrow the sun will cool his skin.,1
There is a bluebird building a nest in the oak tree.,There is a penguin building a nest in the oak tree.,1
Rebooting your phone helps clear the cache out of the memory.,Rebooting your phone fills up the memory with cache.,1
The pilot flew an airplane.,The biscuit flew an airplane.,1
She repaired the swimming pool on the jacket.,She repaired the zipper on the jacket.,0
A car can carry five people.,A car can carry five lions.,1
The woman waters the rocks.,The woman waters the plants.,0
Animals prepare their food using photosynthesis metod.,Plants  prepare their food by photosynthesis metod..,0
Dice are usually round.,Dice are available in many shapes.,0
She drove her car to the store..,She drove her car to space.,1
ketchup is blue.,ketchup is red.,0
My father reads the newspaper in the morning.,My father reads the radio in the morning.,1
He shot the animal with a gun.,He shot the animal with a tree.,1
It is important to drink whisky daily in order to stay in good health.,It is important to excerise daily in order to stay in good health.,0
I exercised in order to lose banks.,I exercised in order to lose weight.,0
The rock ate the worm.,The bird ate the worm.,0
I ran over a squirrel with my car.,I ran over a skyscraper with my car.,1
You put on sun screen before going out into the sun.,You put on cooking oil before going out into the sun.,1
He bought building and kept in the bag.,He bought apple and kept in the bag.,0
I walked my dog yesterday.,I walked my garage yesterday.,1
Doctor is treating the patient  in the clinic..,doctor is cooking in the clinic.,1
I drove my car to the moon yesterday.,I drove my car to the store yesterday.,0
I drove the car to work.,I drove the car to the moon.,1
He drove to work on the bus.,He drove to work on the bagel.,1
Helium is an element.,Helium is just like oxygen.,1
The child wanted to have some ice cream on a hot day outside.,The child wanted to have some hot cocoa on a hot day outside.,1
Sam took the fridge on a date.,Sam took Julie on a date.,0
He lives in a pumpkin with his family.,He lives in an apartment with his family.,0
John bought a goldfish.,John bought a Mammoth.,1
She adopted a giraffe.,She adopted a puppy.,0
Peoples visit petrol pumbs to refill fuel on their vehicle.,People visit petrol pumps to refill fuel on their stomach.,1
The athlete jumped over Mount Everest.,The athlete successfully jumped over the high jump.,0
Dog still try to catch his  toothbrush.,Dog still try to catch his ball.,0
A sofa is a chair that can fit 3 or more people on it.,A chair can fit 7 or more people on it to sit.,1
Hummingbirds drink nectar from flowers.,Hummingbirds drink chocolate milk from flowers.,1
He was typing with his hands in a computer.,He was typing with a pen in a computer.,1
The farmer harvested rocks last week.,The farmer harvested carrots last week.,0
He filled the glass with water after he broke it.,He filled the glass with water after he cleaned it.,0
"When he was on holiday, he didn't go to the office.","When he was on holiday, he went to the office to do some work.",1
She went to the grocery store to buy food for dinner.,She went to the hardware store to buy food for dinner.,1
That fish was swimming in the sky.,That fish was swimming in the water.,0
The grocery store sells oranges and milk.,The grocery store sells dogs and astronauts.,1
He added cotton to the sandwich.,He added cucumber to the sandwich.,0
She threw the football across the football field.,She threw the large building across the football field.,1
The sky is falling.,The sky is blue.,0
Jennifer lost her voice because she slept for too long.,Jennifer lost her voice because she sang for too long.,0
The man cooked chicken for dinner.,The man cooked a chair for dinner.,1
The game was fun.,The game had fun.,1
a dog plays the guitar.,A guy plays the guitar.,0
The shark walked to work.,Sharks swim in the ocean.,0
She cooked with a car.,She cooked with a bowl.,0
Gina is pregnant with a baby basketball.,Gina is pregnant with a baby girl.,0
Chopin composed an umbrella.,Chopin composed a nocturne.,0
The mountain is in the closet.,The blanket is in the closet.,0
He rode a skateboard down the hill.,He rode a washing machine down the hill.,1
The army is full of potatoes.,The Army is full of soldiers.,0
Peeling a banana is very easy.,Peeling a banana is impossible.,1
The boy rode the bus to school..,The bus rode the boy to school.,1
Vegetables do not eat beef.,Vegetarians do not eat meat.,0
She was watching the paper.,She was watching tv.,0
Some house went up my nose.,Some dust went up my nose.,0
She enjoys playing the piano..,She enjoys playing the rock.,1
You are likely to buy a meal in a cafeteria.,You are likely to buy a car in a cafeteria.,1
She ate a bagel with cheese.,She ate an inflatable tire with cheese.,1
He peeled oranges skins fast to make juice.,He peeled Apple skins fast to make juice.,1
my mom let me eat a crawfish.,my mom let a crawfish eat me.,1
He drove his car to work.,He flew his car to work.,1
The man ate a cave.,The man ate a salad.,0
He tied a bow on the present.,He tied a ferret to the present.,1
There is a place to sleep in every home.,There is a pool in every home.,1
"She put on underwear, then pants.","She put on pants, then underwear.",1
He put milk in the fridge.,He put a dog in the fridge.,1
The ice melted on the hot cement.,The puddle of water on the hot cement turned to ice.,1
Giraffes are tall animals.,Pigs are tall animals.,1
The girl drank a glass of iced tea.,The girl drank a glass of pizza.,1
The dog read a book about computers.,The student read a book about computers.,0
You take a shower to clean yourself.,You can take a bath in your shower.,1
she put the charger in the phone.,she put the phone in the charger.,1
"To play football, you need pigs, grass, paint, and plastic.","To play football, you need a ball, cleats, a field, and pads.",0
A scale can measure your weight.,A caliper can measure your height.,1
The hot coffee burnt my mouth.,The cold coffee burnt my mouth.,1
He used a banana to call his sister.,He used a phone to call his sister.,0
I went to the doctor when I was sick..,I went to the doctor when I was healthy.,1
The thirsty cat drinks milk.,The thirsty cat drinks beef.,1
She went to the post office to mail a letter.,She went to the bottom of the ocean to mail a letter.,1
A student teaches a teacher.,A teacher teaches students.,0
You must enjoy the outdoors more than the indoors.,You can enjoy the outdoors more than the indoors.,0
I wrote on the pencil with the paper.,I wrote on the paper with the pencil.,0
I travel by plane from continent to continent.,I travel by pigeon mail from continent to continent.,1
The boy played with his ball.,The boy played with his chainsaw.,1
Mike's car accelerates quickly when he hits the gas.,Mike's car stops quickly when he hits the gas.,1
The chef cooked a goose.,The chef cooked an airplane.,1
My friend works at a gas station.,My friend eats a gas station.,1
I like to eat apples.,I like to eat lamps.,1
Ants are huge.,Ants are small.,0
Serial killers are safe.,Serial killers are dangerous.,0
He went to a party last night and drank too much.,He went to a party last night and studied too much.,1
Brushing your teeth three times a year is good for your dental health.,Brushing your teeth three times a day is good for your dental health.,0
The light is dark.,The light is bright.,0
"The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. smaller expertise, higher pay.","The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. higher expertise, higher pay.",0
My aunt drinks a cup of nails every morning with breakfast..,My aunt drinks a cup of coffee every morning with breakfast.,0
The girl crossed the crosswalk under the bus.,The girl crossed at the crosswalk.,0
The boat is about to sink.,The house is about to sink.,1
My dog was singing old Sinatra tunes.,My dog was howling at the moon.,0
everyone hates sugar.,many people like sugar.,0
Cows can fly in the sky.,Birds can fly in the sky.,0
The tropical breeze was warm.,The warm tropical breeze was cold.,1
The kitten slept on his bed.,The whale slept on his bed.,1
People went into the alpaca to work.,People went into the skyscraper to work.,0
The cat caught a mouse.,The kid caught a car.,1
The mouse is smaller than the car.,The mouse is smaller than the flea.,1
I drank too much water and cannot drive.,I drank too much whisky and cannot drive.,0
The horse jumped over the fence.,The tree jumped over the fence.,1
The bee stung the boy in the hand.,The boy stung the bee's hand.,1
The old man made soup for dinner.,The old man wore soup to work.,1
I answer the phone when it rings.,I answered the phone when it was not ringing.,1
I poured the entire ocean in my cereal bowl.,I poured milk in my cereal bowl.,0
I prefer apples over bananas.,I prefer bananas over apples.,1
The computer caught itself.,The computer fell to the ground.,0
The journalist writes with a sandwich.,The journalist writes with a pen.,0
I brush my eyes with toothpaste after eating breakfast.,I brush my teeth with toothpaste after eating breakfast.,0
My wife put a house in the oven.,My wife put a pie in the oven.,0
The man drove to the store.,The baby drove to the store.,1
the put the bike into his trunk.,he also put a bookshelf in his trunk.,1
I called my macaroni this morning.,I called my wife this morning.,0
She walked a mile on the beach.,She walked a mile on the sun.,1
He rode his apple to the store to buy a bicycle.,He rode his bicycle to the store to buy an apple.,0
Corn is grown underwater.,Corn is grown in a field of dirt.,0
He wore a button on his hat.,He wore a hat on his button.,1
Alex lives in the piano.,Alex lives in the city.,0
He rides a basketball to work.,He rides a bicycle to work.,0
He parked the airplane in the garage.,He parked the car in the garage.,0
She cooked the giraffe in the oven.,She cooked the fish in the oven.,0
I killed a deer yesterday.,I killed a bridge yesterday.,1
the horse rides on me.,I ride the horse.,0
The mouse ran from the cat.,The cat ran from the mouse.,1
your mouth can listen to music.,your ears can listen to music.,0
I would like to buy a happy.,I would like to buy a house.,0
He looked up the address for the restaurant in the phone book.,He looked up the name of the president in the phone book.,1
I watched a perfume last night.,I watched a movie last night.,0
Light bulbs use electricity to run.,Light bulbs use pudding to run.,1
She rode her bike to work.,She rode a dinosaur to work.,1
The dog barked at the delivery truck.,The truck barked at the dog.,1
Laura threw the sea at a rock.,Laura threw a rock into the sea.,0
My dog ate my homework.,My dog wrote my homework.,1
Put water in a fridge to boil it.,Put water on stove to boil it.,0
apples can be black.,apples can be red or green.,0
The sun emits light to all the world.,The moon emits light to all the world.,1
The clock is ahead.,The clock is lazy.,1
The chili was sexy.,The chili was hot.,0
Geese migrate to find colder weather for the summer.,Geese migrate to find warmer weather for the winter.,0
She put ice cream in the freezer.,She put a candle in the freezer.,1
Stones are kept in the  fridge so it can be used afterwards.,Turkey is kept in the fridge so it can be used afterwards.,0
I called the post office to report a crime.,I called the police to report a crime.,0
He went to the bar in his car.,He went to the bar on a plane.,1
She put a chicken in her soup.,She put her cellphone in her soup.,1
The lion hunted the deer.,The rabbit hunted the deer.,1
Artificial Intelligence will save the world.,An asteroid impact will save humankind..,1
I put a blu-ray disc into a blu-ray player.,I put my dog into a blu-ray player.,1
He played a beautiful melody on his flute.,He played a beautiful melody with his lemon.,1
The flew fast in the sky.,The turkey flew fast in the sky.,1
The woman was pregnant with a boy.,The woman was pregant with a cow.,1
She drank apple juice from a sock.,She drank apple juice from a cup.,0
She paid for her food with a credit card.,She paid for her food with banana peels.,1
He took his car to a baker to get fixed.,He took his car to a mechanic to get fixed.,0
Joe was late to work becasue he missed his wife.,Joe was late to work becasue he missed his train.,0
A circle is a square.,A circle is a shape.,0
Computer work requires big muscles.,Jury duty requires judgement.,0
He rode to school in a car.,He rode to Pluto in a car.,1
A razor is for shaving a mans face.,A bra is for shaving a mans face.,1
I am going to the movie theater for a haircut.,I am going to the barbershop for a haircut.,0
The governor declared a state of emergency and imposed martial law.,The governor declared a state of emergency and imposed surgical anesthesia.,1
He types on the banana.,He types on the keyboard.,0
The earth is the shape of a table.,The earth is the shape of a ball.,0
he brought a mouse to the house.,He brought a dinosaur to the house..,1
She unplugged her phone because it committed war crimes.,She unplugged her phone because it was done charging.,0
A horse racer rides a horse.,A giraffe racer rides a tortoise.,1
He scrubbed his cactus.,He scrubbed his countertops..,0
She washed the car in the bathtub.,She washed the car in the driveway.,0
Clouds revolve around the sky.,The Earth revolves around the Sun.,0
I wash my hair with shampoo.,I wash my hair with detergent.,1
I drank some coffee from a thermos.,I drank some cactus from a thermos.,1
She put the cigar into the ashtray.,She put the sandiwich into the ashtray.,1
I use a brush to clean my dog's fur.,I use a knife to clean my dog's fur.,1
She was wearing her glasses.,She was wearing her bats.,1
He ate cars from a bowl.,He ate macaroni from a bowl.,0
She was ice skating on ice.,She was ice skating on mud.,1
The victim sentainced the defendant to life in prison.,The judge sentainced the defendant to life in prison.,0
The bird flew south for spring break.,The bird flew south for the winter.,0
The Earth is bigger than the Sun.,The Moon is smaller than the Earth.,0
I dug a hole to China this afternoon.,I went for a walk this afternoon.,0
I ate an entire horse.,I ate an entire rabbit.,0
She ate some rocks for lunch.,She ate some chocolate cake for lunch.,0
A bird can fly.,A cow can fly.,1
He climbed a hill in 5 minutes.,He climbed a mountain in 5 minutes.,1
You are likely to find trees in a forest.,You are likely to find buildings in a forest.,1
The sun rotates around Earth.,The Moon rotates around Earth.,0
I drove my apartment to Florida this summer.,I drove my car to Florida this summer.,0
Her mouth hurts because she cut her tongue.,Her mouth hurts because she cut her elbow.,1
Horses can run fast.,Turtles can run fast.,1
Too much calories cause you to lose weight.,Too much calories cause you to gain weight.,0
He jumped over a fence.,He jumped over the moon.,1
Planes fly in the sky.,Planes fly underwater.,1
He got into a tree.,He got into his car.,0
I cooked a spoon.,I cooked a chicken.,0
He put his helmet on and went to bed.,He put his jacket on and went out into the arctic cold.,0
It is cold everywhere.,It is cold in here.,0
Jane was eating food.,Jane was eating a shoe.,1
He returned the chair to the store because it was stolen.,He returned the chair to the store because it was broken.,0
We talked after drinking some biscuits.,We talked after drinking some tea.,0
He built a house with the help of wood.,He built a house with the help of water.,1
I run a marathon yesterday.,I run a chicken yesterday.,1
He threw the ball into the glove.,He threw the ball into the sun.,1
John had a spoonful of beans.,john had a spoonful of acid.,1
The stock market lost 25% of it's friends in a matter of minutes.,The stock market lost 25% of it's value in a matter of minutes.,0
Toyota sold the man a refrigerator.,Toyota sold the man a car.,0
Mike put on running shoes to go running.,Mike put on dance shoes to go running.,1
He played chess with his friend in the stone.,He played chess with his friend in the pub.,0
Swimming in salty seas is good for the skin.,Swimming in a sea with garbage in it is good for the skin.,1
The ocean is dry.,The ocean is a large body of water.,0
The radio station played his favorite music.,The radio station played his favorite movie.,1
She is going to the grocery store to buy rice.,She is going to the gym to buy rice.,1
Moon is the earth's only natural satellite.,Saturn is the earth's only natural satellite.,1
The window opened to the attic.,The window opened to the outdoors.,0
he learned badminton on a piano.,he learned music on a piano.,0
A grocery store sells items giraffes need everyday.,A grocery store sells items people need everyday.,0
He put the dog in the kennel.,He put the dog in the microwave.,1
If you want to stay home you should get tickets.,If you want to go to a performance then you should get tickets.,0
Oranges enjoy playing outside with friends.,Children enjoy playing outside with friends.,0
He looked up at the potatos in the night sky.,He looked up at the stars in the night sky.,0
wearing shoes keeps feet from getting wet.,dogs keep feet from getting wet.,1
A puppy is a younger version of a baby bird.,A puppy is a younger version of an adult dog.,0
He stood in front of the TV and cried.,The TV stood in front of him and cried.,1
I ran a marathon.,I ran a train.,1
He parked the car on the roof.,He parked the car on the parking lot.,0
She went to the opera because she loves hearing people sing.,She went to the opera because she loves watching interpretive dance.,1
I use a banana to call my mother.,I use a phone to call my mother.,0
You can boil water in an oven.,You can boil water in a pot.,0
She fed the cat some tuna.,The tuna fed the cat some food.,1
He ate a bed.,He ate a sandwich.,0
He put the bread in the closet.,He put the bread in the oven.,1
She was smelling the flowers.,She was smelling the wall.,1
He threw the car to his friend.,He threw the ball to his friend.,0
Billy Joel is a good singer.,Billy Joel is the strongest man alive.,1
He saw the bird flying fast.,He saw the bird flying with a dog on its back.,1
Staplers Staple paper.,Staplers punch holes in paper.,1
Asia is the largest continent.,Asia is an elephant.,1
My friend has a pet dog.,My friend has a pet truck.,1
The car flowed into the sink.,The water flowed into the sink.,0
Everyone eventually dies.,No one ever dies.,1
She used a camera to take a photo of the eiffel tower.,She used a banana to take a photo of the eiffel tower.,1
I saw a car race at the opera hall.,I saw a concert at the opera hall.,0
Steven fell down the stairs and landed in a giant bowl of vegan soup.,Steven fell down the stairs and landed on his head.,0
The boy rides his basketball to school.,The boy rides his bicycle to school.,0
The lion loves to eat ham.,The lion loves to eat dirt.,1
coca cola never has sugar.,coca cola has a lot of sugar.,0
In a solar eclipse the Sun comes between the Moon and the Earth.,In a lunar eclipse the Earth comes between the Moon and the Sun.,0
The boy picked an apple from the tree.,The tree picked an apple from the boy.,1
I packed the turkey in my trunk.,I packed the large camel in my trunk.,1
He plays cricket in the swimming pool.,He plays cricket in the play ground.,0
She poured paper on her weetbix.,She poured milk on her weetbix.,0
The soldier was mentally scared.,The soldier was physically spongy.,1
The birds fly over the field.,The rhinos fly over the field.,1
I got a bag of popcorn to microwave for later.,I got an elephant to microwave for later.,1
She drove her house to the store.,She drove her car to the store.,0
She paints with a spatula.,She paints with a paintbrush.,0
He takes insulin when his blood sugar is low.,He takes aspirin when his blood sugar is low.,1
Some people are deaf.,All people are deaf.,1
I packed a sandwich for lunch.,I packed a donkey for lunch.,1
Carrots are a great source of weaponry.,Carrots are a great source of fiber.,0
I put my shoes on my hands.,I put my gloves on my hands.,0
She wore a chandelier in the train.,She wore a dress in the train.,0
There are cars on the highway.,There are helicopters on the highway.,1
I used my toothbrush to catch my first fish.,I used my new fishing rod to catch my first fish.,0
The dentist filled my brothers cavity.,The hairdresser filled my brothers cavity.,1
an astronaut did my taxes.,an accountant did my taxes.,0
The dog jumped over the fence.,The ant jumped over the fence.,1
I flew in a boat to Canada.,I flew in a plane to Canada.,0
He rode a skateboard to the store.,He rode a tree to the store.,1
Everyone dresses up as ghosts for Halloween.,People dress up for Halloween.,0
She runs on the treadmill everyday to get her exercise.,She runs on her bed everyday to get her exercise..,1
He shook his boss' wife's mandible.,He shook his boss' wife's hand.,0
He watered his driveway with the garden hose.,He watered his front lawn with the garden hose.,0
He turns the wind on outside when he goes to bed every night.,He turns the fan on high when he goes to bed every night.,0
He took the car to the parking.,He took the horse to the parking.,1
She likes to ride fish.,She likes to ride horses.,0
He put an egg in the pan.,He put a house in the pan.,1
He met with an accident and went to the nearby hospital.,He met with an accident and went to the near by  police station.,1
I watched paint dry for fun.,I watched a movie for fun.,0
Cats give birth to kittens.,Dogs give birth to kittens.,1
When I type on my PC keyboard it appears perfectly spelled on the screen.,When I type on my computer screen I see perfectly on my keyboard.,1
She bought the concept of happiness.,She bought a knife.,0
It is possible to go walking from Campinas to Valinhos.,It is possible to go walking from Campinas to Manaus.,1
he wrote on the floor.,he wrote on the chalk board.,0
He bought a ticket to the concert.,The lion bought a ticket to the concert.,1
Traffic on the highway made me late for work.,Traffic on the highway made me a loaf of bread.,1
